Name;CompleteName;State
AWK;America Water Works;USA
A;Agilent Technologies;USA
DHR;Danaher;USA
ECL;Ecolab;USA
FLS;Flowserve;USA
PNR;Pentair;USA
UUGRY;United Utilities;USA
AGCO;AGCO;USA
CNI;Canadian National Railway;USA
CF;CF Industrie;USA
K;Kellogg’s ;USA
MOS;Mosaic;USA
MDLZ;Mondelez International;USA
DE;Deere;USA
SU;Schneider Electric;USA
CSX;Csx;USA
NSC;Norfolk Southern;USA
6326.TOK;Kubota;JAPAN
9020.TOK;East Japan Railway;JAPAN
SVT.LON;Severn Trent;UK
WEIR.LON;WEIR Group;UK
SEV.PAR;Suez Environnement ;FRANCE
DSM.AMS;DSM;NETHERLANDS
SGO.PAR;Saint Gobain;FRANCE
AA9.BER;Alfa Laval;DEUTSCHLAN
LR.PAR;Legrand;FRANCE
PHIA.AMS;Philips;NETHERLANDS
SIE.FRK;Siemens;DEUTSCHLAND
ABBN.VSX;Abb;SWITZERLAND
BRFS3.SAO;BRF;BRAZIL
