timestamp,open,high,low,close,volume
2019-01-04,6.9800,7.2400,6.9800,7.1700,408659
2018-12-31,7.1200,7.2400,6.8500,6.9800,4352420
2018-11-30,6.8500,7.2267,6.8400,7.1300,3135638
2018-10-31,7.3500,7.3600,6.7900,6.8800,4118112
2018-09-28,7.5600,7.5900,7.2700,7.3400,2348821
2018-08-31,7.5800,7.6300,7.5200,7.5600,2016309
2018-07-31,7.6000,7.6400,7.5000,7.5900,2229496
2018-06-29,7.6200,7.6360,7.4900,7.5700,2414135
2018-05-31,7.5500,7.6300,7.4200,7.6200,2041841
2018-04-30,7.6200,7.6600,7.4450,7.5500,2060662
2018-03-29,7.6000,7.7000,7.4300,7.6100,2280876
2018-02-28,7.8700,7.9000,7.5300,7.6100,4208304
2018-01-31,8.4900,8.5700,7.8100,7.9000,3144455
2017-12-29,8.4400,8.5600,8.3500,8.5500,2528529
2017-11-30,8.4100,8.5100,8.3500,8.4000,1997746
2017-10-31,8.4900,8.6100,8.4000,8.4100,1678260
2017-09-29,8.6400,8.6600,8.4500,8.4700,1914012
2017-08-31,8.8200,8.8501,8.5100,8.6500,2136325
2017-07-31,8.4800,8.8400,8.4800,8.8200,1637937
2017-06-30,8.4500,8.5500,8.3493,8.5100,2078136
2017-05-31,8.3800,8.5200,8.3500,8.4600,1805287
2017-04-28,8.3100,8.4900,8.3000,8.3900,1309845
2017-03-31,8.4200,8.4400,8.0900,8.2800,1847650
2017-02-28,8.3700,8.4850,8.2593,8.4600,1701660
2017-01-31,8.0400,8.3700,8.0233,8.3700,2305218
2016-12-30,8.0100,8.3300,7.8783,8.0400,4304650
2016-11-30,8.3400,8.6300,7.9000,8.0700,2713720
2016-10-31,8.8900,8.8900,8.1800,8.3700,2554373
2016-09-30,8.9600,9.1000,8.6100,8.8600,2020978
2016-08-31,9.0800,9.1100,8.8200,8.9500,2186497
2016-07-29,9.1200,9.2400,8.5201,9.1100,2902387
2016-06-30,8.6600,9.1000,8.6600,9.0700,2371638
2016-05-31,8.8300,8.9400,8.4500,8.6100,2843976
2016-04-29,8.5200,8.8600,8.5200,8.8000,1853273
2016-03-31,8.4200,8.6000,8.4000,8.5100,1725642
2016-02-29,8.3000,8.5300,8.2400,8.4000,2209375
2016-01-29,8.0500,8.3400,8.0500,8.2900,2077179
2015-12-31,7.9600,8.1500,7.8500,8.0700,2242290
2015-11-30,8.0400,8.0990,7.8000,7.9500,1913418
2015-10-30,7.8100,8.0700,7.8000,8.0200,1803317
2015-09-30,7.6700,7.8600,7.6200,7.8100,1658127
2015-08-31,7.7700,7.8000,7.6100,7.6600,1733074
2015-07-31,7.6700,7.8000,7.6200,7.7700,1623233
2015-06-30,7.9400,7.9700,7.5800,7.6700,2136386
2015-05-29,8.0700,8.0700,7.8100,7.9300,2243388
2015-04-30,8.0800,8.1100,7.9600,8.0700,1627406
2015-03-31,8.1400,8.1400,7.9100,8.0900,1906826
2015-02-27,8.2700,8.3400,7.8600,8.1500,2490061
2015-01-30,7.9500,8.3100,7.9500,8.2800,2032614
2014-12-31,7.8700,8.0000,7.8300,7.9600,3040030
2014-11-28,8.1800,8.2100,7.7600,7.8800,3506410
2014-10-31,8.0700,8.3000,8.0500,8.2000,2181095
2014-09-30,8.1800,8.1900,7.9500,8.0500,2163878
2014-08-29,8.0100,8.2200,7.9200,8.1900,1945023
2014-07-31,8.2800,8.3000,7.9900,8.0100,2258483
2014-06-30,8.1800,8.3200,8.0000,8.2900,2500548
2014-05-30,8.0200,8.2200,8.0000,8.1700,2553263
2014-04-30,7.8200,8.1300,7.7700,8.0100,2945859
2014-03-31,7.8300,7.9400,7.6900,7.8000,2394506
2014-02-28,7.9100,7.9500,7.7300,7.8400,1684258
2014-01-31,7.3900,7.9100,7.3600,7.8900,2377087
2013-12-31,7.2800,7.5500,7.1200,7.4200,3678348
2013-11-29,7.6500,7.6700,7.2500,7.3100,2426214
2013-10-31,7.6700,7.7200,7.3300,7.6300,2600684
2013-09-30,7.3300,7.7800,7.2200,7.7100,2305972
2013-08-30,7.6600,7.7100,7.2080,7.3600,3322382
2013-07-31,8.1300,8.2400,7.5100,7.6900,2922345
2013-06-28,8.5400,8.6500,7.5700,8.1500,3780920
2013-05-31,9.3500,9.4000,8.5500,8.5600,2259524
2013-04-30,9.0400,9.4200,9.0100,9.3600,1447122
2013-03-28,9.3900,9.4600,8.5300,9.0400,2669871
2013-02-28,9.4600,9.5590,9.2500,9.3900,1328637
2013-01-31,9.4600,9.8600,9.3700,9.4500,1606062
2012-12-31,9.8500,9.8500,9.2000,9.3600,3153566
2012-11-30,9.5200,9.8200,9.0600,9.7900,2335785
2012-10-31,9.8800,9.9000,9.4400,9.5300,1613686
2012-09-28,9.5000,9.8900,9.4100,9.8800,1873531
2012-08-31,9.4600,9.5000,9.1900,9.4900,2375330
2012-07-31,9.3200,9.5100,9.0900,9.4118,1888025
2012-06-29,9.0000,9.3200,8.7900,9.2800,1739988
2012-05-31,8.8700,9.1600,8.8400,9.1000,1934174
2012-04-30,8.7000,8.8800,8.6700,8.8500,1579948
2012-03-30,8.9400,8.9900,8.1500,8.6900,4252895
2012-02-29,9.0500,9.1700,8.5500,8.9100,2269317
2012-01-31,8.7200,9.0000,8.5700,8.9800,1766980
2011-12-30,8.4100,8.7700,8.2800,8.6910,2010059
2011-11-30,8.0900,8.4500,8.0900,8.3900,1641177
2011-10-31,8.5800,8.6700,7.8300,8.1700,2586096
2011-09-30,8.2600,8.5600,8.0900,8.5600,1793710
2011-08-31,7.8600,8.3600,7.3200,8.2700,1992073
2011-07-29,8.0200,8.1700,7.7500,7.8000,1453240
2011-06-30,7.8600,8.1900,7.7400,8.0000,1373630
2011-05-31,7.5300,7.9800,7.4100,7.8500,1926629
2011-04-29,7.7400,7.8200,7.3900,7.5100,1155430
2011-03-31,7.4900,7.8400,7.4900,7.7200,1982263
2011-02-28,7.6000,7.7500,7.3400,7.4800,1597586
2011-01-31,7.5300,7.7400,6.9700,7.5600,2896751
2010-12-31,7.9300,7.9400,7.0600,7.5800,3944524
2010-11-30,8.2600,8.3100,7.1100,7.9400,3145874
2010-10-29,8.6800,8.8300,8.1600,8.2500,1548022
2010-09-30,8.5000,8.7500,8.3600,8.7200,1584299
2010-08-31,8.3500,8.5500,8.2200,8.4500,1525677
2010-07-30,8.1800,8.3800,8.0700,8.3800,1447843
2010-06-30,8.0100,8.1900,7.9500,8.1900,1517450
2010-05-28,8.2300,8.2500,7.2700,8.0500,1909430
2010-04-30,8.1600,8.2400,7.9200,8.1900,1498799
2010-03-31,8.0300,8.2000,7.8300,8.2000,1694896
2010-02-26,7.9300,8.1500,7.7500,8.0800,1864346
2010-01-29,7.7000,8.0200,7.6500,7.9805,1636491
2009-12-31,7.5700,7.8400,7.5000,7.6900,1850174
2009-11-30,7.3200,7.6900,7.3000,7.5699,1719820
2009-10-30,7.7700,7.9500,7.0500,7.3300,2267898
2009-09-30,7.5000,7.9300,7.3100,7.7200,1968157
2009-08-31,7.0400,7.4700,7.0000,7.4400,1872245
